Class,SLongitude,SLatitude,DLongitude,DLatitude,Precip td,Precip -1d,Precip -2d,Precip -3d,Precip -4d,Water Content,Plasticity Index,Compression Coefficient,Internal Friction Angle,Cohesion,Slope Height,Slope Width,Slope Length,Slope,Aspect,Lithology,地质小类
1,112.03,24.25,112.039664,24.251768,134.4,27.5,33.8,28.3,26.2,25.56425476,0.842424929,1.216745853,19.50367737,29.39853859,17.71717072,25.23896217,39.93517685,60.68470764,177.2281036,Igneous,花岗岩类
1,112.03,24.63,112.076045,24.572207,33.7,34.2,0,26.6,0.5,25.59182549,0.832637429,1.199384451,19.49313354,29.42133522,16.42942047,32.3927803,28.20159721,56.64202118,146.473587,Igneous,花岗岩类
1,112.11,24.59,112.076045,24.572207,86.9,17.8,0,26.5,1.2,25.59182549,0.832637429,1.199384451,19.49313354,29.42133522,16.42942047,32.3927803,28.20159721,56.64202118,146.473587,Igneous,花岗岩类
1,112.03,24.63,112.080205,24.586444,40.6,38.8,0,13.4,13.6,25.59391022,0.832056344,1.198342681,19.49312782,29.42123985,15.40136909,29.45097542,26.13179207,57.32253647,146.6409912,Igneous,花岗岩类
1,112.11,24.59,112.080205,24.586444,134.8,27.5,0,16.2,11.3,25.59391022,0.832056344,1.198342681,19.49312782,29.42123985,15.40136909,29.45097542,26.13179207,57.32253647,146.6409912,Igneous,花岗岩类
1,112.12,24.45,112.092813,24.377052,149.8,0.3,0.4,3.3,9.5,25.58045578,0.8379457,1.208655953,19.50596428,29.39200592,18.20802307,30.28843498,39.03317642,58.03007889,186.1401672,Igneous,花岗岩类
1,112.09,24.41,112.092813,24.377052,204.8,0.3,0.3,0.7,9.8,25.58045578,0.8379457,1.208655953,19.50596428,29.39200592,18.20802307,30.28843498,39.03317642,58.03007889,186.1401672,Igneous,花岗岩类
1,112.09,24.38,112.092813,24.377052,217.3,0.2,0.3,1.1,8.7,25.58045578,0.8379457,1.208655953,19.50596428,29.39200592,18.20802307,30.28843498,39.03317642,58.03007889,186.1401672,Igneous,花岗岩类
1,112.08,24.77,112.095087,24.76368,0.1,1.9,25.6,20.8,16.7,25.60357094,0.827462494,1.190322042,19.48275185,29.44557762,17.84195328,28.92521858,30.81973267,61.70268631,142.038559,Igneous,花岗岩类
1,112.11,24.81,112.095087,24.76368,1,3.3,21.8,19.7,14.3,25.60357094,0.827462494,1.190322042,19.48275185,29.44557762,17.84195328,28.92521858,30.81973267,61.70268631,142.038559,Igneous,花岗岩类
1,112.15,24.7,112.095087,24.76368,2,7.6,39.5,18,25.7,25.60357094,0.827462494,1.190322042,19.48275185,29.44557762,17.84195328,28.92521858,30.81973267,61.70268631,142.038559,Igneous,花岗岩类
1,112.08,24.77,112.096338,24.765069,22.2,0.2,2.2,32.4,11.3,25.60357094,0.827462494,1.190322042,19.48275185,29.44557762,17.91022491,28.93202972,30.7491188,61.78914642,140.9070129,Igneous,花岗岩类
1,112.12,24.45,112.099399,24.408815,149.8,0.3,0.4,3.3,9.5,25.58406448,0.836905479,1.20679605,19.5055542,29.39268494,17.98004723,31.90248108,37.13863373,56.62398148,191.3427124,Igneous,花岗岩类
1,112.09,24.41,112.099399,24.408815,204.8,0.3,0.3,0.7,9.8,25.58406448,0.836905479,1.20679605,19.5055542,29.39268494,17.98004723,31.90248108,37.13863373,56.62398148,191.3427124,Igneous,花岗岩类
1,112.09,24.38,112.099399,24.408815,217.3,0.2,0.3,1.1,8.7,25.58406448,0.836905479,1.20679605,19.5055542,29.39268494,17.98004723,31.90248108,37.13863373,56.62398148,191.3427124,Igneous,花岗岩类
1,112.15,24.7,112.130753,24.651161,160.8,63.1,3.5,0,0,25.60452271,0.829373896,1.193474293,19.49607468,29.41358376,15.42102432,36.25510406,20.72863007,63.94792557,89.19547272,Igneous,花岗岩类
1,112.17,24.65,112.130753,24.651161,162.4,94.1,2.3,0,0,25.60452271,0.829373896,1.193474293,19.49607468,29.41358376,15.42102432,36.25510406,20.72863007,63.94792557,89.19547272,Igneous,花岗岩类
1,112.17,24.65,112.133527,24.650602,60.7,0.1,0.7,5.7,8.2,25.60452271,0.829373896,1.193474293,19.49607468,29.41358376,15.42102432,36.25510406,20.72863007,63.94792557,89.19547272,Igneous,花岗岩类
1,112.15,24.7,112.133527,24.650602,68.4,0,1.2,5.1,10.6,25.60452271,0.829373896,1.193474293,19.49607468,29.41358376,15.42102432,36.25510406,20.72863007,63.94792557,89.19547272,Igneous,花岗岩类
1,112.15,24.7,112.1424,24.652814,124.9,3.5,0,0,0,25.60572624,0.82923007,1.193195462,19.49710083,29.41106224,16.25476074,33.32463074,23.31548309,61.9577179,95.95650482,Igneous,花岗岩类
1,112.17,24.65,112.1424,24.652814,144.8,2.3,0,0,0,25.60572624,0.82923007,1.193195462,19.49710083,29.41106224,16.25476074,33.32463074,23.31548309,61.9577179,95.95650482,Igneous,花岗岩类
1,112.11,24.59,112.151189,24.638217,27.8,13.6,0.1,0,33.7,25.60605812,0.829484642,1.193600416,19.4996109,29.40501595,16.0078125,37.3275032,21.96857262,61.20083237,62.74695587,Igneous,花岗岩类
1,112.15,24.7,112.151189,24.638217,49.6,34.6,0,0.2,24.1,25.60605812,0.829484642,1.193600416,19.4996109,29.40501595,16.0078125,37.3275032,21.96857262,61.20083237,62.74695587,Igneous,花岗岩类
1,112.17,24.65,112.151189,24.638217,104.4,29,0,0.6,43,25.60605812,0.829484642,1.193600416,19.4996109,29.40501595,16.0078125,37.3275032,21.96857262,61.20083237,62.74695587,Igneous,花岗岩类
1,112.15,24.7,112.154016,24.664409,54,9.3,0,0.6,0,25.60736847,0.828782856,1.192379236,19.49781227,29.40922546,16.78767586,28.18696976,24.79154968,63.16056061,120.3304901,Igneous,花岗岩类
1,112.17,24.65,112.154016,24.664409,64.1,19.3,0,1.3,0,25.60736847,0.828782856,1.192379236,19.49781227,29.40922546,16.78767586,28.18696976,24.79154968,63.16056061,120.3304901,Igneous,花岗岩类
1,112.15,24.7,112.174002,24.65137,20.6,1.3,0.2,0,0,25.61063385,0.828545451,1.191868544,19.50193214,29.39911079,17.78728867,38.58303452,26.35445786,62.61949921,136.1263428,Igneous,花岗岩类
1,112.17,24.65,112.174002,24.65137,20.6,2.6,0,0,0.1,25.61063385,0.828545451,1.191868544,19.50193214,29.39911079,17.78728867,38.58303452,26.35445786,62.61949921,136.1263428,Igneous,花岗岩类
1,112.13,24.28,112.176743,24.215897,7.7,0.4,14.4,8.1,46.5,25.57740784,0.841731727,1.215095043,19.52463341,29.3490696,9.966917038,7.074316025,17.28172112,65.28908539,114.9172974,Igneous,花岗岩类
1,112.18,24.98,112.177706,24.992448,34.1,86,43.8,82,11.9,25.62234688,0.820457041,1.17796576,19.4743557,29.46572113,17.01877785,30.10095024,32.5748291,63.650383,155.5941162,Sedimentary,砂岩及砾岩类
1,112.18,24.98,112.181128,25.016067,34.1,86,43.8,82,11.9,25.62397194,0.819788575,1.176799417,19.47302818,29.46899605,17.28177261,29.76786041,33.90828323,63.60712433,158.1391754,Sedimentary,砂岩及砾岩类
1,112.15,24.7,112.196174,24.645773,116.4,74.6,132.8,63.1,3.5,25.61397171,0.828237772,1.191233754,19.50593567,29.38921165,18.96394539,47.95859146,27.84104156,62.34283829,146.5851135,Igneous,花岗岩类
1,112.17,24.65,112.196174,24.645773,125,81.2,123.6,94.1,2.3,25.61397171,0.828237772,1.191233754,19.50593567,29.38921165,18.96394539,47.95859146,27.84104156,62.34283829,146.5851135,Igneous,花岗岩类
